# submitted_item	validated_id	current_symbol
FBgn0027586	FBgn0027586	CG5867
FBgn0265045	FBgn0265045	Strn-Mlck
FBgn0038952	FBgn0038952	CG7069
FBgn0030703	FBgn0030703	MSBP
FBgn0036328	FBgn0036328	CG10749
FBgn0032773	FBgn0032773	fon
FBgn0016120	FBgn0016120	ATPsynD
FBgn0263231	FBgn0263231	bel
FBgn0039640	FBgn0039640	superdeath
FBgn0013995	FBgn0013995	Calx
FBgn0002622	FBgn0002622	RpS3
FBgn0259973	FBgn0259973	Sfp79B
FBgn0022160	FBgn0022160	Gpo1
FBgn0051413	FBgn0051413	Qsox4
FBgn0263289	FBgn0263289	scrib
FBgn0003274	FBgn0003274	RpLP2
FBgn0038069	FBgn0038069	CG11608
FBgn0035985	FBgn0035985	Cpr67B
FBgn0033862	FBgn0033862	CG6209
FBgn0028848	FBgn0028848	Gpo3
FBgn0034277	FBgn0034277	OstDelta
FBgn0019644	FBgn0019644	ATPsynB
FBgn0038181	FBgn0038181	CG9297
FBgn0053970	FBgn0053970	osy
FBgn0011747	FBgn0011747	Ank
FBgn0032472	FBgn0032472	CG9928
FBgn0025885	FBgn0025885	Inos
FBgn0034797	FBgn0034797	nahoda
FBgn0039737	FBgn0039737	CG7920
FBgn0034807	FBgn0034807	CG9897
FBgn0028984	FBgn0028984	Spn88Ea
FBgn0029804	FBgn0029804	CG3097
FBgn0053121	FBgn0053121	Spn28Db
FBgn0038163	FBgn0038163	CG10841
FBgn0025682	FBgn0025682	scf
FBgn0038799	FBgn0038799	MFS9
FBgn0046323	FBgn0046323	ORY
FBgn0024754	FBgn0024754	Flo1
FBgn0029890	FBgn0029890	Fum2
FBgn0036762	FBgn0036762	CG7430
FBgn0033860	FBgn0033860	S-Lap5
FBgn0001092	FBgn0001092	Gapdh2
FBgn0023143	FBgn0023143	Uba1
FBgn0014026	FBgn0014026	RpL7A
FBgn0032471	FBgn0032471	CG5122
FBgn0264078	FBgn0264078	Flo2
FBgn0038349	FBgn0038349	AOX3
FBgn0086254	FBgn0086254	Akr1B
FBgn0001250	FBgn0001250	if
FBgn0036830	FBgn0036830	CG14077
FBgn0036784	FBgn0036784	CG5103
FBgn0026409	FBgn0026409	Mpcp2
FBgn0039635	FBgn0039635	Pdhb
FBgn0004888	FBgn0004888	Scsalpha1
FBgn0046874	FBgn0046874	Pif1B
FBgn0025111	FBgn0025111	Ant2
FBgn0025615	FBgn0025615	Torsin
FBgn0020279	FBgn0020279	lig
FBgn0029747	FBgn0029747	CG5062
FBgn0034816	FBgn0034816	CG3085
FBgn0034133	FBgn0285943	knon
FBgn0050104	FBgn0050104	NT5E-2
FBgn0051419	FBgn0051419	CG31419
FBgn0037580	FBgn0037580	DppIII
FBgn0026372	FBgn0026372	RpL23A
FBgn0026403	FBgn0026403	Ndg
FBgn0085324	FBgn0085324	CG34295
FBgn0003748	FBgn0003748	Treh
FBgn0031256	FBgn0031256	shv
FBgn0034152	FBgn0034152	Acp53C14a
FBgn0010100	FBgn0010100	mAcon1
FBgn0011286	FBgn0011286	RyR
FBgn0027356	FBgn0027356	Amph
FBgn0261955	FBgn0261955	kdn
FBgn0036962	FBgn0036962	CG17122
FBgn0037465	FBgn0037465	CG1105
FBgn0004780	FBgn0004780	Ccp84Ad
FBgn0261014	FBgn0286784	TER94
FBgn0030544	FBgn0030544	CG13403
FBgn0250841	FBgn0250841	CG17242
FBgn0043530	FBgn0043530	Obp51a
FBgn0033728	FBgn0033728	Cpr49Ae
FBgn0033164	FBgn0033164	CG11112
FBgn0037276	FBgn0037276	CG17387
FBgn0041102	FBgn0041102	ocn
FBgn0034563	FBgn0034563	CG15649
FBgn0035581	FBgn0035581	Dnah3
FBgn0038922	FBgn0038922	Idh3b
FBgn0031313	FBgn0031313	CG5080
FBgn0013770	FBgn0013770	Cp1
FBgn0034432	FBgn0034432	CG7461
FBgn0031347	FBgn0031347	nis
FBgn0015622	FBgn0015622	Cnx99A
FBgn0058064	FBgn0058064	ARY
FBgn0037970	FBgn0037970	GC2
FBgn0034067	FBgn0034067	CG8399
FBgn0001186	FBgn0001186	Hex-A
FBgn0267592	FBgn0267592	CCY
FBgn0262484	FBgn0262484	CG43074
FBgn0036702	FBgn0036702	CG6512
FBgn0051374	FBgn0051374	sals
FBgn0036985	FBgn0036985	zye
FBgn0086656	FBgn0086656	shrb
FBgn0259968	FBgn0259968	Sfp60F
FBgn0031285	FBgn0031285	CG3662
FBgn0037891	FBgn0037891	CG5214
FBgn0264489	FBgn0264489	CG43897
FBgn0027598	FBgn0027598	cindr
FBgn0025352	FBgn0025352	Mtpbeta
FBgn0263705	FBgn0263705	Myo10A
FBgn0015245	FBgn0015245	Hsp60A
FBgn0035638	FBgn0035638	Tektin-C
FBgn0039048	FBgn0039048	CG17111
FBgn0010423	FBgn0010423	TpnC47D
FBgn0029975	FBgn0029975	spidey
FBgn0035600	FBgn0035600	Cyt-c1
FBgn0028491	FBgn0028491	CG2930
FBgn0052082	FBgn0052082	IRSp53
FBgn0015623	FBgn0015623	Cpr
FBgn0035957	FBgn0035957	CG5144
FBgn0038774	FBgn0038774	CG5023
FBgn0030880	FBgn0030880	CG6788
FBgn0038894	FBgn0038894	CG15497
FBgn0034844	FBgn0034844	CG9861
FBgn0034957	FBgn0034957	Rsph4a
FBgn0261276	FBgn0261276	Opa1
FBgn0010551	FBgn0010551	Phb2
FBgn0015583	FBgn0015583	Acp29AB
FBgn0037962	FBgn0037962	Dnali1
FBgn0001149	FBgn0001149	GstD1
FBgn0011284	FBgn0011284	RpS4
FBgn0041180	FBgn0041180	Tep4
FBgn0034470	FBgn0034470	Obp56d
FBgn0032456	FBgn0032456	MRP
FBgn0038145	FBgn0038145	Droj2
FBgn0026061	FBgn0026061	Mipp1
FBgn0036162	FBgn0036162	Fum3
FBgn0259969	FBgn0259969	Sfp65A
FBgn0264897	FBgn0264897	CG44088
FBgn0052445	FBgn0052445	CG32445
FBgn0001091	FBgn0001091	Gapdh1
FBgn0003074	FBgn0003074	Pgi
FBgn0034173	FBgn0034173	CG9010
FBgn0261602	FBgn0261602	RpL8
FBgn0020910	FBgn0020910	RpL3
FBgn0011661	FBgn0011661	Moe
FBgn0020236	FBgn0020236	ATPCL
FBgn0033377	FBgn0033377	Pgm2a
FBgn0015575	FBgn0015575	alpha-Est7
FBgn0042094	FBgn0042094	Ak3
FBgn0283437	FBgn0283437	PPO1
FBgn0261396	FBgn0261396	Rpn3
FBgn0261797	FBgn0261797	Dhc64C
FBgn0010225	FBgn0010225	Gel
FBgn0027560	FBgn0027560	Tps1
FBgn0015288	FBgn0015288	RpL22
FBgn0002440	FBgn0002440	l(3)mbn
FBgn0015766	FBgn0015766	Msr-110
FBgn0039651	FBgn0039651	Cyt-c1L
FBgn0036214	FBgn0036214	CG7264
FBgn0263988	FBgn0263988	Dic61B
FBgn0039302	FBgn0039302	Nup358
FBgn0027835	FBgn0027835	Dp1
FBgn0001145	FBgn0001145	Gs2
FBgn0050371	FBgn0050371	CG30371
FBgn0025643	FBgn0025643	CG3588
FBgn0064225	FBgn0064225	RpL5
FBgn0261458	FBgn0261458	capt
FBgn0028325	FBgn0028325	Pdha
FBgn0002772	FBgn0002772	Mlc1
FBgn0034709	FBgn0034709	Swim
FBgn0011455	FBgn0011455	ND-SGDH
FBgn0039070	FBgn0039070	CG17083
FBgn0030086	FBgn0030086	CCT2
FBgn0000579	FBgn0000579	Eno
FBgn0037064	FBgn0037064	CG9389
FBgn0250862	FBgn0250862	CG42237
FBgn0260461	FBgn0260461	Rcd7
FBgn0038068	FBgn0038068	CG11600
FBgn0013756	FBgn0013756	Mtor
FBgn0002031	FBgn0002031	l(2)37Cc
FBgn0036299	FBgn0036299	Tsf2
FBgn0043841	FBgn0043841	vir-1
FBgn0035293	FBgn0035293	CG5687
FBgn0024238	FBgn0024238	Fim
FBgn0001942	FBgn0001942	eIF4A
FBgn0005593	FBgn0005593	RpL7
FBgn0004657	FBgn0004657	mys
FBgn0010408	FBgn0010408	RpS9
FBgn0034258	FBgn0034258	eIF3c
FBgn0011695	FBgn0011695	EbpIII
FBgn0005585	FBgn0005585	Calr
FBgn0039713	FBgn0039713	RpS8
FBgn0004907	FBgn0004907	14-3-3zeta
FBgn0010808	FBgn0010808	Chchd3
FBgn0086346	FBgn0086346	ALiX
FBgn0015019	FBgn0015019	CCT3
FBgn0014869	FBgn0014869	Pglym78
FBgn0030223	FBgn0030223	CG2111
FBgn0037039	FBgn0037039	CG10587
FBgn0004687	FBgn0004687	Mlc-c
FBgn0015808	FBgn0015808	ScpX
FBgn0037483	FBgn0037483	CG14609
FBgn0035452	FBgn0035452	CG10359
FBgn0020415	FBgn0020415	Idgf2
FBgn0001624	FBgn0001624	dlg1
FBgn0032291	FBgn0032291	CG17118
FBgn0023529	FBgn0023529	CG2918
FBgn0000273	FBgn0000273	Pka-C1
FBgn0035197	FBgn0035197	CG9130
FBgn0031975	FBgn0031975	Tg
FBgn0004868	FBgn0004868	Gdi
FBgn0032299	FBgn0032299	CG17127
FBgn0004003	FBgn0004003	wbl
FBgn0027552	FBgn0027552	CG10863
FBgn0000409	FBgn0284248	Cyt-c-p
FBgn0001248	FBgn0001248	Idh
FBgn0052026	FBgn0052026	CG32026
FBgn0040064	FBgn0040064	yip2
FBgn0034566	FBgn0034566	CG9313
FBgn0261609	FBgn0261609	eIF2alpha
FBgn0035422	FBgn0035422	RpL28
FBgn0283476	FBgn0283476	Dhc16F
FBgn0051522	FBgn0051522	CG31522
FBgn0035438	FBgn0035438	PHGPx
FBgn0020238	FBgn0020238	14-3-3epsilon
FBgn0043533	FBgn0043533	Obp56f
FBgn0035198	FBgn0035198	CG9133
FBgn0031831	FBgn0031831	COX5BL
FBgn0001124	FBgn0001124	Got1
FBgn0051025	FBgn0051025	Ppi1
FBgn0022959	FBgn0022959	yps
FBgn0037548	FBgn0037548	CG7900
FBgn0010412	FBgn0010412	RpS19a
FBgn0050486	FBgn0050486	CG30486
FBgn0033367	FBgn0033367	PPO2
FBgn0029170	FBgn0029170	TwdlT
FBgn0033799	FBgn0033799	GLaz
FBgn0034753	FBgn0034753	CG2852
FBgn0023537	FBgn0023537	CG17896
FBgn0035811	FBgn0035811	Mcad
FBgn0037001	FBgn0037001	ND-39
FBgn0039674	FBgn0039674	CG1907
FBgn0040107	FBgn0040107	lectin-21Ca
FBgn0031418	FBgn0031418	CG3609
FBgn0015790	FBgn0015790	Rab11
FBgn0026077	FBgn0026077	Gasp
FBgn0259953	FBgn0259953	Sfp24Bd
FBgn0259143	FBgn0259143	CG42258
FBgn0025628	FBgn0025628	CG4199
FBgn0034792	FBgn0034792	YME1L
FBgn0041150	FBgn0041150	hoe1
FBgn0262742	FBgn0285925	Fas1
FBgn0027932	FBgn0027932	Akap200
FBgn0004867	FBgn0004867	RpS2
FBgn0053868	FBgn0053868	His2B:CG33868
FBgn0000181	FBgn0000181	bic
FBgn0000100	FBgn0000100	RpLP0
FBgn0051029	FBgn0051029	CG31029
FBgn0034743	FBgn0034743	RpS16
FBgn0030853	FBgn0030853	ND-24
FBgn0034225	FBgn0034225	veil
FBgn0039719	FBgn0039719	CG15515
FBgn0029084	FBgn0029084	gom
FBgn0024293	FBgn0024293	Spn43Ab
FBgn0002719	FBgn0002719	Men
FBgn0259966	FBgn0259966	Sfp51E
FBgn0042710	FBgn0042710	Hex-t2
FBgn0030975	FBgn0030975	SdhBL
FBgn0015756	FBgn0015756	RpL9
FBgn0033342	FBgn0284436	CCT8
FBgn0020618	FBgn0020618	Rack1
FBgn0002789	FBgn0002789	Mp20
FBgn0034368	FBgn0034368	zda
FBgn0029859	FBgn0029859	CG15892
FBgn0013811	FBgn0013811	Dhc62B
FBgn0028526	FBgn0028526	CG15293
FBgn0034718	FBgn0034718	wdp
FBgn0283494	FBgn0283494	Ak2
FBgn0003206	FBgn0003206	Ras64B
FBgn0020513	FBgn0020513	Paics
FBgn0001197	FBgn0001197	His2Av
FBgn0035121	FBgn0035121	Tudor-SN
FBgn0029709	FBgn0029709	CHOp24
FBgn0031905	FBgn0031905	gudu
FBgn0051921	FBgn0051921	CG31921
FBgn0264294	FBgn0264294	Cyt-b5
FBgn0037487	FBgn0037487	thw
FBgn0004227	FBgn0004227	nonA
FBgn0035978	FBgn0035978	UGP
FBgn0030102	FBgn0030102	SmydA-9
FBgn0052528	FBgn0052528	parvin
FBgn0019957	FBgn0019957	ND-42
FBgn0011272	FBgn0011272	RpL13
FBgn0259209	FBgn0259209	Mlp60A
FBgn0029667	FBgn0029667	Gas8
FBgn0262782	FBgn0262782	Mdh1
FBgn0004574	FBgn0004574	Rop
FBgn0250842	FBgn0250842	CG17575
FBgn0039341	FBgn0039341	CG5112
FBgn0010435	FBgn0010435	emp
FBgn0032218	FBgn0032218	CG5381
FBgn0014009	FBgn0014009	Rab2
FBgn0051161	FBgn0051161	CG31161
FBgn0264855	FBgn0264855	AP-2alpha
FBgn0038136	FBgn0038136	CG8774
FBgn0028737	FBgn0028737	eEF1beta
FBgn0021765	FBgn0021765	scu
FBgn0015282	FBgn0015282	Rpt2
FBgn0002306	FBgn0002306	sas
FBgn0028671	FBgn0028671	Vha100-1
FBgn0262000	FBgn0262000	CG42818
FBgn0032520	FBgn0032520	CG10859
FBgn0037759	FBgn0037759	CG8526
FBgn0033679	FBgn0033679	CG8888
FBgn0015834	FBgn0015834	eIF3i
FBgn0031462	FBgn0031462	CG2964
FBgn0032833	FBgn0032833	COX4
FBgn0035165	FBgn0035165	CG13887
FBgn0261593	FBgn0285947	RpS10b
FBgn0000253	FBgn0000253	Cam
FBgn0010213	FBgn0010213	Sod2
FBgn0039820	FBgn0039820	CG15554
FBgn0019624	FBgn0019624	COX5A
FBgn0260632	FBgn0260632	dl
FBgn0030608	FBgn0030608	Lsd-2
FBgn0085454	FBgn0085454	CG34425
FBgn0050122	FBgn0050122	CG30122
FBgn0039537	FBgn0039537	CG5590
FBgn0025724	FBgn0025724	beta'COP
FBgn0035281	FBgn0035281	Cpr62Bc
FBgn0261243	FBgn0261243	Psa
FBgn0030329	FBgn0030329	prtp
FBgn0010548	FBgn0010548	Aldh-III
FBgn0085476	FBgn0085476	CG34447
FBgn0030478	FBgn0030478	CG1640
FBgn0250906	FBgn0250906	Pgk
FBgn0004587	FBgn0004587	B52
FBgn0033194	FBgn0033194	Vps13
FBgn0004403	FBgn0004403	RpS14a
FBgn0034181	FBgn0034181	CG8963
FBgn0002593	FBgn0002593	RpLP1
FBgn0035678	FBgn0035678	CG10469
FBgn0083141	FBgn0083141	Spn28B
FBgn0002780	FBgn0002780	mod
FBgn0039594	FBgn0039594	snu
FBgn0002069	FBgn0002069	AspRS
FBgn0031859	FBgn0031859	CG17377
FBgn0001989	FBgn0001989	ND-B17
FBgn0033953	FBgn0033953	CG12861
FBgn0053532	FBgn0053532	lectin-37Da
FBgn0038706	FBgn0038706	CG3517
FBgn0037498	FBgn0037498	CG10029
FBgn0033610	FBgn0033610	CG18335
FBgn0011206	FBgn0011206	bol
FBgn0038919	FBgn0038919	Qsox2
FBgn0005674	FBgn0005674	GluProRS
FBgn0029154	FBgn0029154	Menl-1
FBgn0270925	FBgn0270925	CG4836
FBgn0037203	FBgn0037203	slif
FBgn0031830	FBgn0031830	COX5B
FBgn0045073	FBgn0045073	Stim
FBgn0028646	FBgn0028646	aralar1
FBgn0033969	FBgn0033969	Pgm2b
FBgn0051862	FBgn0051862	CG31862
FBgn0001098	FBgn0001098	Gdh
FBgn0036154	FBgn0036154	CG6168
FBgn0030057	FBgn0030057	Ppt1
FBgn0039616	FBgn0039616	CG11828
FBgn0031908	FBgn0031908	CG5177
FBgn0267975	FBgn0267975	vib
FBgn0035173	FBgn0035173	CG13907
FBgn0038738	FBgn0038738	CG4572
FBgn0034968	FBgn0034968	RpL12
FBgn0024183	FBgn0024183	vig
FBgn0034259	FBgn0034259	P32
FBgn0014028	FBgn0014028	SdhB
FBgn0031879	FBgn0031879	uif
FBgn0035216	FBgn0035216	CG9168
FBgn0032398	FBgn0032398	CG6766
FBgn0038037	FBgn0038037	Cyp9f2
FBgn0001128	FBgn0001128	Gpdh1
FBgn0028342	FBgn0028342	ATPsyndelta
FBgn0038266	FBgn0038266	CG3610
FBgn0001308	FBgn0001308	Khc
FBgn0026189	FBgn0026189	promL
FBgn0022097	FBgn0022097	Vha36-1
FBgn0034967	FBgn0285952	eEF5
FBgn0050151	FBgn0050151	CG30151
FBgn0035710	FBgn0035710	SP1173
FBgn0262509	FBgn0262509	nrm
FBgn0027108	FBgn0027108	Inx2
FBgn0010238	FBgn0010238	Lac
FBgn0034251	FBgn0034251	ND-51L1
FBgn0035471	FBgn0035471	Sc2
FBgn0035909	FBgn0035909	ergic53
FBgn0038198	FBgn0038198	Npc2b
FBgn0017579	FBgn0017579	RpL14
FBgn0021967	FBgn0021967	ND-PDSW
FBgn0000636	FBgn0000636	Fas3
FBgn0030222	FBgn0030222	CG9806
FBgn0034467	FBgn0034467	CG15128
FBgn0033465	FBgn0286783	Etf-QO
FBgn0040813	FBgn0287423	Nplp2
FBgn0041629	FBgn0041629	Hexo2
FBgn0039857	FBgn0039857	RpL6
FBgn0001123	FBgn0001123	Galphas
FBgn0037912	FBgn0037912	sea
FBgn0039757	FBgn0039757	RpS7
FBgn0033287	FBgn0033287	CG8701
FBgn0261625	FBgn0261625	GLS
FBgn0010409	FBgn0010409	RpL18A
FBgn0028689	FBgn0028689	Rpn6
FBgn0027578	FBgn0027578	Nepl21
FBgn0083956	FBgn0083956	CG34120
FBgn0036825	FBgn0036825	RpL26
FBgn0036723	FBgn0036723	CG12229
FBgn0038088	FBgn0038088	CG10126
FBgn0024320	FBgn0024320	Npc1a
FBgn0053094	FBgn0053094	Synd
FBgn0052488	FBgn0052488	CG32488
FBgn0053290	FBgn0053290	CG33290
FBgn0039697	FBgn0039697	CG7834
FBgn0262870	FBgn0262870	axo
FBgn0037650	FBgn0037650	CG11977
FBgn0051195	FBgn0051195	CG31195
FBgn0033883	FBgn0033883	CG16935
FBgn0038685	FBgn0038685	CG14282
FBgn0000055	FBgn0000055	Adh
FBgn0031918	FBgn0031918	CG6055
FBgn0036279	FBgn0036279	Ncc69
FBgn0000150	FBgn0000150	awd
FBgn0053340	FBgn0053340	CG33340
FBgn0031021	FBgn0031021	ND-18
FBgn0262880	FBgn0262880	CG43235
FBgn0250832	FBgn0250832	Dup99B
FBgn0011270	FBgn0011270	Pglym87
FBgn0039213	FBgn0039213	atl
FBgn0053129	FBgn0053129	CG33129
FBgn0034745	FBgn0034745	CG4329
FBgn0052392	FBgn0052392	Rsph3
FBgn0031037	FBgn0031037	CG14207
FBgn0265266	FBgn0265266	CG13639
FBgn0036928	FBgn0036928	Tom20
FBgn0013981	FBgn0013981	His4r
FBgn0002787	FBgn0002787	Rpn8
FBgn0035598	FBgn0035598	CG4669
FBgn0037036	FBgn0037036	Sems
FBgn0030932	FBgn0030932	Ggt-1
FBgn0015737	FBgn0015737	Hmu
FBgn0033167	FBgn0033167	CG1701
FBgn0003071	FBgn0003071	Pfk
FBgn0262123	FBgn0262123	l(2)41Ab
FBgn0052833	FBgn0052833	CG32833
FBgn0051415	FBgn0051415	CG31415
FBgn0004656	FBgn0004656	fs(1)h
FBgn0036663	FBgn0036663	CG9674
FBgn0036780	FBgn0036780	CG7330
FBgn0261822	FBgn0261822	Bsg
FBgn0029155	FBgn0029155	Men-b
FBgn0038956	FBgn0038956	CAH8
FBgn0033794	FBgn0033794	CG13326
FBgn0003062	FBgn0003062	Fib
FBgn0031143	FBgn0031143	CG1532
FBgn0013997	FBgn0013997	Nrx-IV
FBgn0034154	FBgn0034154	CG5267
FBgn0259970	FBgn0259970	Sfp70A4
FBgn0266064	FBgn0266064	GlyS
